like,love,haha,wow,care,sad,angry,post_id,total
1787,1674,0,1,0,0,1,714678104026236,3463
1030,9,1013,6,1,7,1,714669557360424,2067
1264,13,2170,1,7,34,1,714633250697388,3490
1997,844,10,0,1,0,1,714616814032365,2853
2629,19,4215,5,4,519,1,714611050699608,7392
2399,380,0,0,0,0,1,714604250700288,2780
1579,8,1136,3,3,376,1,714590964034950,3106
5286,346,7385,7,45,22,1,714570034037043,13092
1386,11,3379,1,4,14,1,714536964040350,4796
4199,29,6286,10,6,43,1,714519394042107,10574
2735,10,5587,8,6,621,1,714196007407779,8968
1680,10,3097,3,6,34,1,714185677408812,4831
5670,900,3,4,13,1,0,6573583876024913,6591
3003,11,2235,0,12,55,0,6573554426027858,5316
12070,180,7519,6,30,58,1,6573488909367743,19864
9651,354,11032,10,61,45,0,6573271606056140,21153
7423,403,13847,21,68,93,1,6573104322739535,21856
6218,25,10010,9,6,22,0,6572999932749974,16290
8370,22,3397,4,12,1975,2,6572829189433715,13782
13087,205,18239,13,28,27,0,6572735469443087,31599
5712,42,9173,7,23,46,0,6572652502784717,15003
1178,186,429,0,14,0,0,6572292612820706,1807
19614,256,4991,157,28,1969,7,6571967729519861,27022
4445,75,2140,1,6,12,0,6571826499533984,6679
3615,59,6349,6,19,42,1,6570475239669110,10091
4119,1191,11,1,41,0,0,6570322876351013,5363
12663,1270,78,8,25,10,1,6570228556360445,14055
2249,3,0,0,1,0,0,6570158846367416,2253
3472,98,942,1,11,74,0,6570034686379832,4598
6576,138,2865,18,21,20,0,6569732523076715,9638
9241,53,4316,11,4,81,4,6569469856436315,13710
4807,43,3394,4,4,17,0,6569008446482456,8269
7218,63,3400,56,10,1403,73,6568822186501082,12223
7645,2464,11,4,75,4,0,6567675993282368,10203
129,3,0,0,1,0,0,6567537919962842,133
10218,327,2516,12,17,16,1,6567564546626846,13107
3743,496,4,5,74,922,0,6567524823297485,5244
2438,3,59,3,2,0,0,6567448886638412,2505
15886,175,9248,20,27,121,0,6567383766644924,25477
2341,1,0,1,1,0,0,6567302573319710,2344
2111,1105,35,1,81,50,0,6567194036663897,3383
3865,7,3665,4,4,29,0,6567020180014616,7574
7981,858,2801,2,50,36,2,6566740276709273,11730
3326,594,3,44,15,0,0,6566605966722704,3982
25496,1365,2972,573,81,8,2,6566272786756022,30497
7079,721,48,7,18,6,0,6566135410103093,7879
6584,294,8670,8,50,21,0,6566046660111968,15627
4608,16,6988,8,9,45,0,6564578823592085,11674
3836,43,3249,8,4,27,0,6564373846945916,7167
2428,3,1,0,0,1,0,6564292776954023,2433
3682,955,1755,2,87,2,0,6564246580291976,6483
2721,2,11,1,0,1,0,6564158210300813,2736
2824,22,1209,7,6,511,0,6563918830324751,4579
15150,1860,9521,130,87,295,4,6563791543670813,27047
